@relation Registro

@attribute Estacion {Primavera, Verano, Otono, Invierno}
@attribute year numeric
@attribute Edad numeric
@attribute NecesitaPermiso {Si, No}
@attribute TienePermiso {Si, No}
@attribute Genero {Masculino, Femenino}
@attribute SeCaso {Si, No}
@data
'Verano', 2021, 51, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 24, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 31, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 38, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 17, 'Si','Si', 'Masculino', 'No'
'Otono', 2020, 29, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 56, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 19, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 48, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 13, 'Si','No', 'Femenino', 'Si'
'Otono', 2021, 44, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 59, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 28, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 51, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 37, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 43, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 39, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 17, 'Si','Si', 'Masculino', 'No'
'Primavera', 2021, 38, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 58, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 36, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 31, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 59, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 56, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 48, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 27, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 42, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 40, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 36, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 39, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 13, 'Si','Si', 'Femenino', 'Si'
'Otono', 2021, 49, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 50, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 50, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 52, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 24, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 35, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 38, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 23, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 34, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 11, 'Si','No', 'Femenino', 'No'
'Invierno', 2020, 55, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 40, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 57, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 39, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 44, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 51, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 33, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 59, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 10, 'Si','Si', 'Masculino', 'No'
'Primavera', 2021, 58, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 16, 'Si','Si', 'Femenino', 'No'
'Otono', 2021, 37, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 36, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 48, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 34, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 14, 'Si','No', 'Femenino', 'Si'
'Verano', 2022, 18, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 55, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 51, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 23, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 12, 'Si','No', 'Masculino', 'No'
'Primavera', 2022, 56, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 29, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 40, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 57, 'Si', 'Si', 'Masculino', 'No'
'Invierno', 2022, 29, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 20, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 24, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 12, 'Si','Si', 'Femenino', 'Si'
'Invierno', 2020, 22, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 44, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 21, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 47, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 47, 'No', 'No', 'Masculino', 'Si'
'Verano', 2022, 17, 'Si','No', 'Femenino', 'No'
'Verano', 2020, 28, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 41, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 41, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 23, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 54, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 13, 'Si','Si', 'Masculino', 'Si'
'Otono', 2021, 19, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 42, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 33, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 54, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 55, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 32, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 57, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 31, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 41, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 26, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 23, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 51, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 10, 'Si','No', 'Femenino', 'No'
'Otono', 2020, 49, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 40, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 9, 'Si','Si', 'Masculino', 'No'
'Otono', 2020, 47, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 40, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 43, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 41, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 54, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 59, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 45, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 19, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 28, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 12, 'Si','Si', 'Masculino', 'No'
'Otono', 2021, 36, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 52, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 32, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 23, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 48, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 45, 'Si', 'No', 'Femenino', 'Si'
'Invierno', 2022, 51, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 47, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 14, 'Si','No', 'Masculino', 'Si'
'Verano', 2020, 43, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 13, 'Si','No', 'Femenino', 'Si'
'Invierno', 2020, 59, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 25, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 28, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 35, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 19, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 20, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 30, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 36, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 40, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 20, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 57, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 37, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 20, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 44, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 39, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 34, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 15, 'Si','No', 'Masculino', 'No'
'Otono', 2020, 10, 'Si','Si', 'Masculino', 'Si'
'Invierno', 2020, 38, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 18, 'No', 'No', 'Masculino', 'Si'
'Verano', 2022, 28, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 41, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 53, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 51, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 14, 'Si','No', 'Femenino', 'Si'
'Primavera', 2020, 24, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 41, 'No', 'Si', 'Masculino', 'Si'
'Invierno', 2022, 28, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 44, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 57, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 47, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 55, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 13, 'Si','Si', 'Femenino', 'No'
'Verano', 2021, 46, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 32, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 32, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 29, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 12, 'Si','No', 'Masculino', 'Si'
'Invierno', 2021, 28, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 28, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 43, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 42, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 17, 'Si','Si', 'Femenino', 'Si'
'Primavera', 2021, 57, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 19, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 9, 'Si', 'No', 'Masculino', 'Si'
'Primavera', 2021, 34, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 21, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 18, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 38, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 26, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 18, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 51, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 11, 'Si','No', 'Masculino', 'Si'
'Primavera', 2020, 30, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 32, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 24, 'No', 'No', 'Femenino', 'No'
'Invierno', 2021, 48, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 33, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 56, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 23, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 34, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 55, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 36, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 33, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 32, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 18, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 15, 'Si','No', 'Masculino', 'Si'
'Verano', 2022, 21, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 22, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 58, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 55, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 14, 'Si','Si', 'Masculino', 'Si'
'Invierno', 2022, 41, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 13, 'Si','Si', 'Femenino', 'Si'
'Otono', 2021, 44, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 48, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 43, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 59, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 29, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 18, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 57, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 54, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 29, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 46, 'No', 'Si', 'Femenino', 'No'
'Invierno', 2022, 42, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 17, 'Si','Si', 'Masculino', 'No'
'Verano', 2022, 34, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 43, 'Si', 'Si', 'Masculino', 'No'
'Primavera', 2020, 24, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 34, 'Si', 'Si', 'Masculino', 'Si'
'Otono', 2020, 42, 'No', 'Si', 'Femenino', 'Si'
'Primavera', 2021, 35, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 11, 'Si','No', 'Femenino', 'Si'
'Invierno', 2021, 19, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 10, 'Si','No', 'Femenino', 'No'
'Primavera', 2021, 18, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 42, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 45, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 23, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 10, 'Si','Si', 'Masculino', 'No'
'Verano', 2022, 26, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 48, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 32, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 46, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 24, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 34, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 15, 'Si','No', 'Masculino', 'Si'
'Otono', 2021, 23, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 9, 'Si','No', 'Masculino', 'Si'
'Verano', 2022, 48, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 30, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 51, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 17, 'Si','No', 'Femenino', 'Si'
'Otono', 2022, 35, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 18, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 57, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 40, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 14, 'Si','No', 'Femenino', 'No'
'Invierno', 2020, 25, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 19, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 53, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 14, 'Si','Si', 'Masculino', 'No'
'Invierno', 2022, 47, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 54, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 59, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 45, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 34, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 12, 'Si','No', 'Femenino', 'Si'
'Verano', 2020, 20, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 21, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 34, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 59, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 10, 'Si','No', 'Femenino', 'No'
'Invierno', 2020, 17, 'Si', 'Si', 'Masculino', 'No'
'Invierno', 2020, 16, 'Si','No', 'Femenino', 'Si'
'Verano', 2021, 28, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 43, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 45, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 22, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 39, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 33, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 9, 'Si','Si', 'Femenino', 'Si'
'Otono', 2020, 49, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 43, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 25, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 46, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 42, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 19, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 34, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 49, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 16, 'Si','No', 'Femenino', 'No'
'Primavera', 2022, 42, 'No', 'Si', 'Masculino', 'Si'
'Primavera', 2022, 36, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 21, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 37, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 22, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 44, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 47, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 15, 'Si','No', 'Femenino', 'Si'
'Otono', 2021, 13, 'Si','No', 'Masculino', 'Si'
'Invierno', 2020, 42, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 46, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 29, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 15, 'Si','No', 'Masculino', 'No'
'Invierno', 2020, 58, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 45, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 49, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 30, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 29, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 25, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 10, 'Si','No', 'Masculino', 'No'
'Otono', 2021, 55, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 44, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 9, 'Si','No', 'Femenino', 'Si'
'Primavera', 2022, 54, 'Si', 'Si', 'Femenino', 'Si'
'Invierno', 2022, 41, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 11, 'Si','Si', 'Masculino', 'No'
'Otono', 2022, 11, 'Si','No', 'Masculino', 'Si'
'Verano', 2022, 57, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 19, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 46, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 10, 'Si','Si', 'Masculino', 'Si'
'Otono', 2021, 38, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 12, 'Si','No', 'Masculino', 'No'
'Primavera', 2020, 15, 'Si','No', 'Masculino', 'No'
'Invierno', 2022, 42, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 12, 'Si','Si', 'Masculino', 'Si'
'Primavera', 2020, 47, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 11, 'Si','No', 'Masculino', 'Si'
'Otono', 2022, 54, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 57, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 47, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 25, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 58, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 11, 'Si','No', 'Femenino', 'No'
'Invierno', 2020, 30, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 56, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 24, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 14, 'Si','Si', 'Femenino', 'No'
'Verano', 2022, 23, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 42, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 39, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 22, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 40, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 31, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 51, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 56, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 34, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 9, 'Si','Si', 'Masculino', 'Si'
'Verano', 2021, 33, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 41, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 21, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 40, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 10, 'Si','Si', 'Femenino', 'Si'
'Primavera', 2020, 38, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 42, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 13, 'Si','No', 'Femenino', 'No'
'Otono', 2022, 51, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 9, 'Si','No', 'Masculino', 'Si'
'Verano', 2021, 47, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 49, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 46, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 48, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 27, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 45, 'No', 'No', 'Masculino', 'Si'
'Verano', 2022, 10, 'Si','Si', 'Masculino', 'No'
'Otono', 2020, 11, 'Si','Si', 'Masculino', 'No'
'Otono', 2020, 25, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 56, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 48, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 42, 'Si', 'No', 'Femenino', 'No'
'Invierno', 2020, 25, 'Si', 'No', 'Femenino', 'No'
'Primavera', 2020, 18, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 11, 'Si','Si', 'Femenino', 'Si'
'Otono', 2020, 15, 'Si','No', 'Masculino', 'No'
'Otono', 2021, 41, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 58, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 26, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 51, 'No', 'No', 'Femenino', 'No'
'Invierno', 2021, 21, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 51, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 9, 'Si','Si', 'Femenino', 'No'
'Otono', 2020, 38, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 57, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 56, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 20, 'No', 'Si', 'Femenino', 'No'
'Primavera', 2020, 36, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 19, 'No', 'No', 'Femenino', 'No'
'Invierno', 2021, 17, 'Si','No', 'Femenino', 'Si'
'Otono', 2021, 20, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 57, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 9, 'Si','No', 'Masculino', 'No'
'Primavera', 2021, 27, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 31, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 10, 'Si','Si', 'Masculino', 'No'
'Invierno', 2020, 23, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 57, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 55, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 16, 'Si','No', 'Femenino', 'Si'
'Otono', 2021, 38, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 42, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 39, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 39, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 30, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 37, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 33, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 35, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 35, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 47, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 34, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 51, 'Si', 'Si', 'Femenino', 'Si'
'Invierno', 2020, 14, 'Si','No', 'Masculino', 'No'
'Invierno', 2021, 10, 'Si','No', 'Femenino', 'No'
'Verano', 2022, 16, 'Si','No', 'Femenino', 'Si'
'Primavera', 2022, 20, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 47, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 33, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 22, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 44, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 40, 'No', 'Si', 'Femenino', 'No'
'Primavera', 2021, 15, 'Si','No', 'Femenino', 'Si'
'Primavera', 2022, 59, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 15, 'Si','Si', 'Femenino', 'No'
'Otono', 2021, 40, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 31, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 57, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 40, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 33, 'Si', 'No', 'Masculino', 'Si'
'Primavera', 2022, 41, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 28, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 16, 'Si','Si', 'Masculino', 'Si'
'Primavera', 2020, 34, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 12, 'Si','Si', 'Masculino', 'No'
'Otono', 2020, 52, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 37, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 50, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 47, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 47, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 16, 'Si','No', 'Femenino', 'Si'
'Invierno', 2022, 55, 'No', 'No', 'Femenino', 'Si'
